#word,k-f-freq     ,k-f-ncats    ,k-f-nsamp    ,t-l-freq     ,brown-freq   ,fam,conc ,imag,meanc,wtype
administered,,,,,1,,,,,v
administration,161,9,65,185,3,502,331,413,,n
administrative,53,7,31,17,6,,,,,j
administrator,15,6,12,19,,,,,,n
admirable,10,5,9,35,,,,,,a
admirable,10,5,9,35,,,,,,j
admiral,,,,31,,436,528,543,381,j
admiral,,,,31,,436,528,543,381,n
admiralty,1,1,1,9,,,,,,n
admire,10,8,10,257,1,531,296,390,457,n
admire,10,8,10,257,1,531,296,390,457,v
admirer,3,3,3,19,,,,,,n
admissible,9,2,2,,,,,,,j
admission,33,8,19,70,,482,305,389,,n
admit,37,12,33,793,7,,,,,v
admitted,,,,,1,,,,,p
admitted,,,,,1,,,,,v
admittedly,,,,,3,,,,,a
admitting,,,,,2,,,,,v
admonish,,,,21,,341,269,302,292,v
admonition,1,1,1,16,,,,,,n
ado,4,1,1,3,,,,,,p
ado,4,1,1,3,,,,,,v
adobe,2,1,1,27,,,,,,j
adolescent,12,3,4,32,,,,,,j
adolescent,12,3,4,32,,,,,,n
adonis,1,1,1,,,,,,,n
adopt,13,6,12,199,,,,,,v
adopted,,,,,1,,,,,p
adopted,,,,,1,,,,,v
adopting,,,,,1,,,,,v
adoption,11,5,9,45,,,,,,n
adorable,3,2,3,47,,,,,,j
adore,2,1,2,197,1,,,,,v
adorn,1,1,1,26,,441,339,370,355,j
adorn,1,1,1,26,,441,339,370,355,n
adorn,1,1,1,26,,441,339,370,355,v
adornment,,,,7,,,,,,n
adown,,,,1,,,,,,a
adown,,,,1,,,,,,r
adrenal,2,2,2,,,,,,,n
adrenal,2,2,2,,,,,,,j
adrian,4,2,2,,,,,,,j
adrian,4,2,2,,,,,,,n
adriatic,3,1,1,,,,,,,j
adrift,1,1,1,4,,,,,,j
adrift,1,1,1,4,,,,,,a
adroit,1,1,1,4,,,,,,j
adroit,1,1,1,11,,,,,,j
adult,25,8,16,125,1,590,492,526,543,j
adult,25,8,16,125,1,590,492,526,543,n
adulterate,,,,1,,,,,,o
adulterate,,,,1,,,,,,v
adulteration,,,,2,,,,,,n
adulterous,1,1,1,,,,,,,j
adultery,3,3,3,6,,456,311,494,,n
advance,60,11,44,452,5,,,,,j
advance,60,11,44,452,5,,,,,n
advance,60,11,44,452,5,,,,,v
advanced,52,12,40,52,3,523,,320,,j
advanced,52,12,40,52,3,523,,320,,p
advanced,52,12,40,52,3,523,,320,,v
advanced,52,12,40,52,3,523,,320,,o
advantage,73,12,52,404,13,562,282,292,,j
advantage,73,12,52,404,13,562,282,292,,v
advantage,73,12,52,404,13,562,282,292,,n
advantageous,5,4,5,20,,,,,,j
advantages,,,,,4,,,,,v
advent,5,3,5,33,2,,,,,n
adventitious,1,1,1,2,,,,,,j
adventure,14,6,12,277,,,,,,n
adventure,14,6,12,277,,,,,,v
adventurer,,,,23,,402,462,497,,n
adventurous,5,3,4,39,,,,,,j
adverb,1,1,1,,1,473,352,315,322,j
adverb,1,1,1,,1,473,352,315,322,n
adverbial,2,1,2,,,,,,,n
adverbial,2,1,2,,,,,,,j
adversary,5,4,5,9,,,,,,j
adversary,5,4,5,9,,,,,,o
adversary,5,4,5,9,,,,,,n
adverse,11,6,10,14,,,,,,v
adverse,11,6,10,14,,,,,,j
adversity,2,2,2,14,,360,314,326,,n
advert,,,,,4,,,,,n
advert,,,,,4,,,,,v
advertise,3,3,3,84,4,,,,,v
advertised,,,,,5,,,,,p
advertised,,,,,5,,,,,v
advertisement,2,2,2,70,5,,,,,n
advertiser,1,1,1,24,,,,,,n
advertising,,,,,6,,,,,v
adverts,,,,,1,,,,,v
advice,51,14,40,351,10,566,291,352,,n
advisable,1,1,1,33,,,,,,j
advise,10,6,10,214,4,,,,,v
advised,33,11,27,,5,,,,,p
advised,33,11,27,,5,,,,,v
advised,33,11,27,,5,,,,,j
advised,33,11,27,,5,,,,,o
advisement,2,1,1,,,,,,,n
adviser,6,3,5,44,,,,,,n
advises,,,,,1,,,,,v
advisor,1,1,1,,,,,,,n
advisory,24,7,14,14,,,,,,j
advocacy,3,2,2,1,,,,,,n
advocate,15,5,10,62,1,,,,,n
advocate,15,5,10,62,1,,,,,v
adze,,,,,,138,283,256,164,n
adze,,,,,,138,283,256,164,v
aegean,15,2,2,,,,,,,j
aegis,1,1,1,,,,,,,j
aegis,1,1,1,,,,,,,n
aeon,1,1,1,,,,,,,n
aerate,1,1,1,,,,,,,v
aeration,7,2,2,,,,,,,n
aerator,11,1,1,,,,,,,n
aerial,8,3,6,24,4,481,517,567,,j
aerial,8,3,6,24,4,481,517,567,,n
aerodynamic,1,1,1,,,,,,,j
aeronautical,1,1,1,,,,,,,j
aeroplane,,,,10,1,,,,,j
aeroplane,,,,10,1,,,,,n
aesthetic,26,4,17,16,12,,,,,j
afar,2,2,2,14,,,,,,a
afeard,,,,4,,,,,,o
afeard,,,,4,,,,,,j
affable,1,1,1,25,,266,,315,,j
affair,33,12,30,651,1,531,,361,,n
affect,35,10,30,179,2,,,,,n
affect,35,10,30,179,2,,,,,o
affect,35,10,30,179,2,,,,,v
affectation,1,1,1,19,,,,,,n
affected,36,9,31,,1,,,,,p
affected,36,9,31,,1,,,,,v
affected,36,9,31,,1,,,,,j
affected,36,9,31,,1,,,,,o
affecting,5,4,5,,,,,,,j
affecting,5,4,5,,,,,,,v
affecting,5,4,5,,,,,,,o
affection,18,9,18,220,1,513,280,484,,v
affection,18,9,18,220,1,513,280,484,,n
affectionate,6,5,6,52,,507,,471,,v
affectionate,6,5,6,52,,507,,471,,j
affectionately,3,3,3,20,1,,,,,a
affects,,,,,5,,,,,v
afferent,1,1,1,,,,,,,j
affidavit,,,,2,,,,,,n
affied,1,1,1,,,,,,,o
affiliate,,,,11,,,,,,j
affiliate,,,,11,,,,,,n
affiliate,,,,11,,,,,,v
affiliation,4,2,4,9,,,,,,n
affinity,5,4,5,10,,,,,,n
affirm,12,6,8,16,,444,,281,,v
affirmation,4,3,4,2,,332,242,313,,n
affirmative,4,2,3,15,,,,,,n
affirmative,4,2,3,15,,,,,,j
affix,1,1,1,6,,,,,,n
affix,1,1,1,6,,,,,,v
afflict,,,,27,,,,,,n
afflict,,,,27,,,,,,o
afflict,,,,27,,,,,,v
affliction,1,1,1,20,,,,,,n
affluent,2,2,2,11,,,,,,n
affluent,2,2,2,11,,,,,,j
afford,40,12,34,393,7,,,,,v
affright,,,,1,,219,229,232,,n
affright,,,,1,,219,229,232,,o
affright,,,,1,,219,229,232,,v
affront,2,1,1,15,,,,,,n
affront,2,1,1,15,,,,,,v
affronts,,,,,1,,,,,v
afield,1,1,1,12,,,,,,a
afire,1,1,1,10,,,,,,a
afire,1,1,1,10,,,,,,j
aflame,3,3,3,9,,,,,,a
aflame,3,3,3,9,,,,,,j
afloat,7,4,5,10,,,,,,a
afloat,7,4,5,10,,,,,,j
afoot,1,1,1,14,,,,,,a
afoot,1,1,1,14,,,,,,j
afore,,,,13,,,,,,a
afore,,,,13,,,,,,c
afore,,,,13,,,,,,r
aforesaid,2,1,2,6,,,,,,j
aforethought,1,1,1,,,,,,,n
aforethought,1,1,1,,,,,,,o
aforethought,1,1,1,,,,,,,j
aforetime,,,,2,,,,,,j
aforetime,,,,2,,,,,,n
aforetime,,,,2,,,,,,a
afraid,57,12,43,958,23,575,336,451,507,o
afraid,57,12,43,958,23,575,336,451,507,j
afresh,2,2,2,24,2,,,,,a
african,28,11,21,,,,,,,j
african,28,11,21,,,,,,,n
aft,5,4,4,21,,,,,,a
after,1070,15,378,5552,198,575,242,217,302,j
after,1070,15,378,5552,198,575,242,217,302,a
after,1070,15,378,5552,198,575,242,217,302,c
after,1070,15,378,5552,198,575,242,217,302,r
aftermath,4,3,4,11,,,,,,j
afternoon,106,12,75,1033,23,655,406,513,,j
afternoon,106,12,75,1033,23,655,406,513,,n
afterthought,,,,10,,,,,,n
afterward,16,7,14,330,,,,,,a
afterwards,14,9,14,44,17,,,,,a
aga,,,,,1,,,,,n
again,578,15,287,3967,120,,,,,a
again,578,15,287,3967,120,,,,,c
again,578,15,287,3967,120,,,,,r
against,626,15,268,2184,23,600,,285,,a
against,626,15,268,2184,23,600,,285,,c
against,626,15,268,2184,23,600,,285,,r
agate,,,,7,,,,,,a
agate,,,,7,,,,,,n
age,227,15,125,1022,28,582,390,468,428,n
age,227,15,125,1022,28,582,390,468,428,v
aged,18,8,13,69,1,,,,,p
aged,18,8,13,69,1,,,,,v
aged,18,8,13,69,1,,,,,o
aged,18,8,13,69,1,,,,,j
agency,56,10,35,195,5,420,426,366,,n
agenda,5,4,5,,2,,,,,n
agent,44,9,26,209,,,,,,j
agent,44,9,26,209,,,,,,n
ages,,,,,10,,,,,v
agglomerate,2,1,1,,,,,,,j
agglomerate,2,1,1,,,,,,,n
agglomerate,2,1,1,,,,,,,v
agglomeration,3,1,2,,,,,,,n
agglutination,4,1,1,,,,,,,n
aggravate,1,1,1,11,,,,,,o
aggravate,1,1,1,11,,,,,,v
aggregate,8,3,7,,,,,,,o
aggregate,8,3,7,,,,,,,j
aggregate,8,3,7,,,,,,,n
aggregate,8,3,7,,,,,,,v
aggregation,1,1,1,3,,,,,,n
aggress,,,,,,351,271,270,244,n
aggress,,,,,,351,271,270,244,v
aggression,10,7,10,9,,,,,,n
aggressive,17,9,14,43,4,500,,417,,n
aggressive,17,9,14,43,4,500,,417,,j
aggressor,2,2,2,7,,359,439,383,,n
aggrieve,,,,9,,,,,,v
aghast,1,1,1,31,1,,,,,o
aghast,1,1,1,31,1,,,,,j
agile,2,2,2,15,,432,356,454,436,j
agitate,1,1,1,,,,,,,v
agitation,6,6,6,34,,,,,,n
agitator,1,1,1,5,,,,,,n
agleam,1,1,1,,,,,,,a
aglow,,,,11,,,,,,a
aglow,,,,11,,,,,,j
agnomen,1,1,1,,,,,,,n
ago,246,15,163,1107,90,,,,,v
ago,246,15,163,1107,90,,,,,a
ago,246,15,163,1107,90,,,,,j
ago,246,15,163,1107,90,,,,,o
agone,2,1,1,,,,,,,j
agone,2,1,1,,,,,,,o
agonize,,,,54,,,,,,v
agonizing,,,,,1,,,,,j
agony,9,6,9,181,1,509,348,491,485,n
agrarian,8,1,2,4,,,,,,j
agrarian,8,1,2,4,,,,,,n
agree,51,12,40,729,45,,,,,a
agree,51,12,40,729,45,,,,,n
agree,51,12,40,729,45,,,,,v
agreeable,11,5,7,58,1,,,,,j
agreed,,,,,11,,,,,p
agreed,,,,,11,,,,,v
agreement,106,10,46,143,3,541,327,367,,n
agrees,,,,,1,,,,,v
agricultural,38,7,18,85,1,,,,,j
aground,,,,5,,,,,,a
aground,,,,5,,,,,,j
ague,1,1,1,2,,196,365,224,,v
ague,1,1,1,2,,196,365,224,,n
ah,22,7,13,241,106,519,253,330,322,i
aha,,,,34,5,,,,,n
aha,,,,34,5,,,,,i
ahead,109,15,81,667,10,,,,,a
ahead,109,15,81,667,10,,,,,j
ahem,1,1,1,,,,,,,i
ai,1,1,1,,,,,,,n
aid,130,11,69,310,,536,372,413,433,n
aid,130,11,69,310,,536,372,413,433,v
aide,9,6,8,15,,,,,,n
aids,,,,,2,,,,,v
ail,,,,13,,370,385,391,302,n
ail,,,,13,,370,385,391,302,v
ailing,,,,,1,,,,,v
ailment,4,3,3,25,,,,,,n
aim,37,9,33,110,1,549,324,383,383,n
aim,37,9,33,110,1,549,324,383,383,v
aimed,,,,,1,,,,,p
aimed,,,,,1,,,,,v
aiming,,,,,2,,,,,v
ain't,46,8,22,737,1,,,,,v
air,257,15,128,968,14,608,518,450,497,a
air,257,15,128,968,14,608,518,450,497,n
air,257,15,128,968,14,608,518,450,497,v
airborne,7,4,7,,,,,,,j
airbrake,7,4,7,,,,,,,n
airedale,1,1,1,,,,,,,n
airfield,5,3,4,,,,,,,n
airily,2,2,2,12,,,,,,a
airing,,,,,1,,,,,n
airing,,,,,1,,,,,v
airplane,11,8,9,257,,,,,,n
airport,19,8,12,50,3,,,,,n
airship,,,,31,,332,585,545,,n
airtight,,,,11,,,,,,j
airy,7,5,7,30,,423,334,368,353,n
airy,7,5,7,30,,423,334,368,353,j
aisle,6,5,5,72,,503,509,528,400,n
